From	Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)
O55135	O55135	reviewed	IF6_MOUSE	Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP))	Mus musculus (Mouse)	245	Eif6
O55142	O55142	reviewed	RL35A_MOUSE	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	Mus musculus (Mouse)	110	Rpl35a
O70305	O70305	reviewed	ATX2_MOUSE	Ataxin-2 (Spinocerebellar ataxia type 2 protein homolog)	Mus musculus (Mouse)	1285	Atxn2
O70311	O70311	reviewed	NMT2_MOUSE	Glycylpeptide N-tetradecanoyltransferase 2 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Type II N-myristoyltransferase)	Mus musculus (Mouse)	529	Nmt2
O70551	O70551	reviewed	SRPK1_MOUSE	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	Mus musculus (Mouse)	648	Srpk1
O88196	O88196	reviewed	TTC3_MOUSE	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Mtprd)	Mus musculus (Mouse)	1979	Ttc3
O88448	O88448	reviewed	KLC2_MOUSE	Kinesin light chain 2 (KLC 2)	Mus musculus (Mouse)	599	Klc2
O88477	O88477	reviewed	IF2B1_MOUSE	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	Mus musculus (Mouse)	577	Igf2bp1
O88783	O88783	reviewed	FA5_MOUSE	Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	Mus musculus (Mouse)	2183	F5
O88809	O88809	reviewed	DCX_MOUSE	Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X) (Lis-X)	Mus musculus (Mouse)	366	Dcx
P01027	P01027	reviewed	CO3_MOUSE	Complement C3 (HSE-MSF) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	Mus musculus (Mouse)	1663	C3
P01029	P01029	reviewed	CO4B_MOUSE	Complement C4-B [Cleaved into: Complement C4 beta chain; Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain]	Mus musculus (Mouse)	1738	C4b
P01631	P01631	reviewed	KV2A7_MOUSE	Ig kappa chain V-II region 26-10	Mus musculus (Mouse)	113	
P01633	P01633	reviewed	KV5A1_MOUSE	Immunoglobulin kappa chain variable 6-17 (Ig kappa chain V-V region MPC11) (Ig kappa chain V19-17)	Mus musculus (Mouse)	149	Igkv6-17
P01634	P01634	reviewed	KV5A2_MOUSE	Ig kappa chain V-V region MOPC 21	Mus musculus (Mouse)	136	
P01647	P01647	reviewed	KV5AE_MOUSE	Ig kappa chain V-V region HP 124E1	Mus musculus (Mouse)	108	
P01657	P01657	reviewed	KV3A5_MOUSE	Ig kappa chain V-III region PC 2413	Mus musculus (Mouse)	111	
P01837	P01837	reviewed	IGKC_MOUSE	Immunoglobulin kappa constant (Ig kappa chain C region MOPC 21)	Mus musculus (Mouse)	107	Igkc
P01865	P01865	reviewed	GCAM_MOUSE	Immunoglobulin heavy constant gamma 2A (Ig gamma-2A chain C region, membrane-bound form)	Mus musculus (Mouse)	398	Ighg2a
P01867	P01867	reviewed	IGG2B_MOUSE	Immunoglobulin heavy constant gamma 2B (Ig gamma-2B chain C region)	Mus musculus (Mouse)	404	Ighg2b
P01869	P01869	reviewed	IGH1M_MOUSE	Ig gamma-1 chain C region, membrane-bound form	Mus musculus (Mouse)	393	Ighg1
P02088	P02088	reviewed	HBB1_MOUSE	Hemoglobin subunit beta-1 (Beta-1-globin) (Hemoglobin beta-1 chain) (Hemoglobin beta-major chain)	Mus musculus (Mouse)	147	Hbb-b1
P02301	P02301	reviewed	H3C_MOUSE	Histone H3.3C (Embryonic)	Mus musculus (Mouse)	136	H3-5
P02468	P02468	reviewed	LAMC1_MOUSE	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	Mus musculus (Mouse)	1607	Lamc1
P04443	P04443	reviewed	HBB0_MOUSE	Hemoglobin subunit beta-H0 (Beta-H0-globin) (Hemoglobin beta-H0 chain)	Mus musculus (Mouse)	147	Hbb-bh0
P05132	P05132	reviewed	KAPCA_MOUSE	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Mus musculus (Mouse)	351	Prkaca
P05213	P05213	reviewed	TBA1B_MOUSE	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin 2) (Alpha-tubulin isotype M-alpha-2) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	Mus musculus (Mouse)	451	Tuba1b
P07356	P07356	reviewed	ANXA2_MOUSE	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Mus musculus (Mouse)	339	Anxa2
P07901	P07901	reviewed	HS90A_MOUSE	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	Mus musculus (Mouse)	733	Hsp90aa1
P08113	P08113	reviewed	ENPL_MOUSE	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Endoplasmic reticulum resident protein 99) (ERp99) (Heat shock protein 90 kDa beta member 1) (Polymorphic tumor rejection antigen 1) (Tumor rejection antigen gp96)	Mus musculus (Mouse)	802	Hsp90b1
P08207	P08207	reviewed	S10AA_MOUSE	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	Mus musculus (Mouse)	97	S100a10
P08414	P08414	reviewed	KCC4_MOUSE	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	Mus musculus (Mouse)	469	Camk4
P08553	P08553	reviewed	NFM_MOUSE	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	Mus musculus (Mouse)	848	Nefm
P09405	P09405	reviewed	NUCL_MOUSE	Nucleolin (Protein C23)	Mus musculus (Mouse)	707	Ncl
P0C090	P0C090	reviewed	RC3H2_MOUSE	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING-type E3 ubiquitin transferase Roquin-2)	Mus musculus (Mouse)	1187	Rc3h2
P10126	P10126	reviewed	EF1A1_MOUSE	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	Mus musculus (Mouse)	462	Eef1a1
P10493	P10493	reviewed	NID1_MOUSE	Nidogen-1 (NID-1) (Entactin)	Mus musculus (Mouse)	1245	Nid1
P10630	P10630	reviewed	IF4A2_MOUSE	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Mus musculus (Mouse)	407	Eif4a2
P10853	P10853	reviewed	H2B1F_MOUSE	Histone H2B type 1-F/J/L (H2B 291A)	Mus musculus (Mouse)	126	H2bc7; H2bc11; H2bc13; H2bc15
P11031	P11031	reviewed	TCP4_MOUSE	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (Single-stranded DNA-binding protein p9) (p14)	Mus musculus (Mouse)	127	Sub1
P11499	P11499	reviewed	HS90B_MOUSE	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)	Mus musculus (Mouse)	724	Hsp90ab1
P11798	P11798	reviewed	KCC2A_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Mus musculus (Mouse)	478	Camk2a
P11983	P11983	reviewed	TCPA_MOUSE	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Tailless complex polypeptide 1A) (TCP-1-A) (Tailless complex polypeptide 1B) (TCP-1-B)	Mus musculus (Mouse)	556	Tcp1
P12367	P12367	reviewed	KAP2_MOUSE	cAMP-dependent protein kinase type II-alpha regulatory subunit	Mus musculus (Mouse)	401	Prkar2a
P12849	P12849	reviewed	KAP1_MOUSE	cAMP-dependent protein kinase type I-beta regulatory subunit	Mus musculus (Mouse)	381	Prkar1b
P12970	P12970	reviewed	RL7A_MOUSE	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (Surfeit locus protein 3)	Mus musculus (Mouse)	266	Rpl7a
P14106	P14106	reviewed	C1QB_MOUSE	Complement C1q subcomponent subunit B	Mus musculus (Mouse)	253	C1qb
P14115	P14115	reviewed	RL27A_MOUSE	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a) (L29)	Mus musculus (Mouse)	148	Rpl27a
P14131	P14131	reviewed	RS16_MOUSE	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	Mus musculus (Mouse)	146	Rps16
P14148	P14148	reviewed	RL7_MOUSE	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	Mus musculus (Mouse)	270	Rpl7
P14206	P14206	reviewed	RSSA_MOUSE	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37 kDa oncofetal antigen) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (OFA/iLRP)	Mus musculus (Mouse)	295	Rpsa
P14211	P14211	reviewed	CALR_MOUSE	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Mus musculus (Mouse)	416	Calr
P14869	P14869	reviewed	RLA0_MOUSE	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	Mus musculus (Mouse)	317	Rplp0
P14873	P14873	reviewed	MAP1B_MOUSE	Microtubule-associated protein 1B (MAP-1B) (MAP1(X)) (MAP1.2) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	Mus musculus (Mouse)	2464	Map1b
P16054	P16054	reviewed	KPCE_MOUSE	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	Mus musculus (Mouse)	737	Prkce
P16546	P16546	reviewed	SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Mus musculus (Mouse)	2472	Sptan1
P16858	P16858	reviewed	G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Mus musculus (Mouse)	333	Gapdh
P17182	P17182	reviewed	ENOA_MOUSE	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Mus musculus (Mouse)	434	Eno1
P17427	P17427	reviewed	AP2A2_MOUSE	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)	Mus musculus (Mouse)	938	Ap2a2
P18524	P18524	reviewed	HVM53_MOUSE	Ig heavy chain V region RF	Mus musculus (Mouse)	117	
P18525	P18525	reviewed	HVM54_MOUSE	Ig heavy chain V region 5-84	Mus musculus (Mouse)	117	
P18527	P18527	reviewed	HVM56_MOUSE	Ig heavy chain V region 914	Mus musculus (Mouse)	97	
P18760	P18760	reviewed	COF1_MOUSE	Cofilin-1 (Cofilin, non-muscle isoform)	Mus musculus (Mouse)	166	Cfl1
P19096	P19096	reviewed	FAS_MOUSE	Fatty acid synthase (EC 2.3.1.85) (Type I Fatty Acid Synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Mus musculus (Mouse)	2504	Fasn
P19137	P19137	reviewed	LAMA1_MOUSE	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)	Mus musculus (Mouse)	3083	Lama1
P19182	P19182	reviewed	IFRD1_MOUSE	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4) (TPA-induced sequence 7) (TIS7 protein)	Mus musculus (Mouse)	449	Ifrd1
P19253	P19253	reviewed	RL13A_MOUSE	Large ribosomal subunit protein uL13 (60S ribosomal protein L13a) (Transplantation antigen P198) (Tum-P198 antigen)	Mus musculus (Mouse)	203	Rpl13a
P20029	P20029	reviewed	BIP_MOUSE	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Mus musculus (Mouse)	655	Hspa5
P20357	P20357	reviewed	MTAP2_MOUSE	Microtubule-associated protein 2 (MAP-2)	Mus musculus (Mouse)	1828	Map2
P23116	P23116	reviewed	EIF3A_MOUSE	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	Mus musculus (Mouse)	1344	Eif3a
P25444	P25444	reviewed	RS2_MOUSE	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	Mus musculus (Mouse)	293	Rps2
P25976	P25976	reviewed	UBF1_MOUSE	Nucleolar transcription factor 1 (Upstream-binding factor 1) (UBF-1)	Mus musculus (Mouse)	765	Ubtf
P26369	P26369	reviewed	U2AF2_MOUSE	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (U2 snRNP auxiliary factor large subunit)	Mus musculus (Mouse)	475	U2af2
P27546	P27546	reviewed	MAP4_MOUSE	Microtubule-associated protein 4 (MAP-4)	Mus musculus (Mouse)	1125	Map4
P27659	P27659	reviewed	RL3_MOUSE	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (J1 protein)	Mus musculus (Mouse)	403	Rpl3
P27773	P27773	reviewed	PDIA3_MOUSE	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Mus musculus (Mouse)	505	Pdia3
P28652	P28652	reviewed	KCC2B_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	Mus musculus (Mouse)	542	Camk2b
P28656	P28656	reviewed	NP1L1_MOUSE	Nucleosome assembly protein 1-like 1 (Brain protein DN38) (NAP-1-related protein)	Mus musculus (Mouse)	391	Nap1l1
P28658	P28658	reviewed	ATX10_MOUSE	Ataxin-10 (Brain protein E46) (Spinocerebellar ataxia type 10 protein homolog)	Mus musculus (Mouse)	475	Atxn10
P28659	P28659	reviewed	CELF1_MOUSE	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Brain protein F41) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Deadenylation factor EDEN-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	Mus musculus (Mouse)	486	Celf1
P28741	P28741	reviewed	KIF3A_MOUSE	Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A)	Mus musculus (Mouse)	701	Kif3a
P29341	P29341	reviewed	PABP1_MOUSE	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Mus musculus (Mouse)	636	Pabpc1
P31230	P31230	reviewed	AIMP1_MOUSE	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	Mus musculus (Mouse)	310	Aimp1
P31324	P31324	reviewed	KAP3_MOUSE	cAMP-dependent protein kinase type II-beta regulatory subunit	Mus musculus (Mouse)	416	Prkar2b
P31750	P31750	reviewed	AKT1_MOUSE	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (AKT1 kinase) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha) (Thymoma viral proto-oncogene)	Mus musculus (Mouse)	480	Akt1
P32067	P32067	reviewed	LA_MOUSE	Lupus La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	Mus musculus (Mouse)	415	Ssb
P33173	P33173	reviewed	KIF1A_MOUSE	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles)	Mus musculus (Mouse)	1695	Kif1a
P35492	P35492	reviewed	HUTH_MOUSE	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	Mus musculus (Mouse)	657	Hal
P35550	P35550	reviewed	FBRL_MOUSE	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (Nucleolar protein 1) (U6 snRNA 2'-O-methyltransferase fibrillarin)	Mus musculus (Mouse)	327	Fbl
P35564	P35564	reviewed	CALX_MOUSE	Calnexin	Mus musculus (Mouse)	591	Canx
P35922	P35922	reviewed	FMR1_MOUSE	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1) (mFmr1p)	Mus musculus (Mouse)	614	Fmr1
P35979	P35979	reviewed	RL12_MOUSE	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	Mus musculus (Mouse)	165	Rpl12
