Time,Value
32,3.90E-02
32.05,2.07E-02
32.1,3.59E-03
32.15,2.18E-02
32.2,3.71E-02
32.25,4.30E-02
32.3,5.52E-02
32.35,6.46E-02
32.4,1.07E-02
32.45,-2.82E-02
32.5,-2.63E-02
32.55,-5.17E-02
32.6,-3.35E-02
32.65,-2.92E-02
32.7,1.34E-02
32.75,2.29E-02
32.8,3.89E-02
32.85,6.82E-02
32.9,5.58E-02
32.95,2.64E-02
33,-1.36E-02
33.05,-3.92E-02
33.1,-3.83E-02
33.15,-1.78E-02
33.2,1.11E-02
33.25,5.06E-02
33.3,7.55E-02
33.35,6.37E-02
33.4,2.86E-02
33.45,5.36E-03
33.5,3.21E-02
33.55,5.20E-02
33.6,6.93E-02
33.65,0.0922248
33.7,0.0644239
33.75,1.28E-02
33.8,-1.69E-02
33.85,0.0208986
33.9,8.62E-02
33.95,0.1653684
34,0.2294731
34.05,0.2219932
34.1,0.1902926
34.15,0.1663479
34.2,0.1936136
34.25,0.1931393
34.3,0.2289416
34.35,0.2463275
34.4,0.2121234
34.45,0.1844518
34.5,0.1932847
34.55,0.2288203
34.6,0.2382433
34.65,0.2655802
34.7,0.290136
34.75,0.2908248
34.8,0.3068964
34.85,0.3356167
34.9,0.3560294
34.95,0.3254687
35,0.3197682
35.05,0.3083639
35.1,0.3110164
35.15,0.3124228
35.2,0.3244754
35.25,0.2884339
35.3,0.2375948
35.35,0.1859213
35.4,0.1698695
35.45,0.193265
35.5,0.222879
35.55,0.2358414
35.6,0.2096616
35.65,0.1815783
35.7,0.1251355
35.75,0.1119848
35.8,0.1504221
35.85,0.1504043
35.9,0.1366759
35.95,0.1270435
36,0.1319127
36.05,0.1388489
36.1,0.1458367
36.15,0.1845054
36.2,0.2113418
36.25,0.2348859
36.3,0.2465143
36.35,0.2482804
36.4,0.255275
36.45,0.2547357
36.5,0.2719298
36.55,0.2940229
36.6,0.2986717
36.65,0.2899045
36.7,0.2304249
36.75,0.2206573
36.8,0.2349623
36.85,0.2720243
36.9,0.2905722
36.95,0.3052528
37,0.3528458
37.05,0.3904446
37.1,0.3972344
37.15,0.3799474
37.2,0.348945
37.25,0.2807206
37.3,0.2507911
37.35,0.292737
37.4,0.3357979
37.45,0.3683386
37.5,0.3601351
37.55,0.3623236
37.6,0.3190246
37.65,0.2895279
37.7,0.304472
37.75,0.2876016
37.8,0.2852639
37.85,0.2713799
37.9,0.2571222
37.95,0.2550389
38,0.2935159
38.05,0.3526043
38.1,0.4190587
38.15,0.4879714
38.2,0.5224585
38.25,0.5045666
38.3,0.4758693
38.35,0.4559673
38.4,0.4168356
38.45,0.3937337
38.5,0.3748163
38.55,0.3580244
38.6,0.3445323
38.65,0.3591356
38.7,0.395604
38.75,0.4094176
38.8,0.4231454
38.85,0.4251218
38.9,0.3989006
38.95,0.3508502
39,0.3284583
39.05,0.341777
39.1,0.3616532
39.15,0.3810344
39.2,0.3708973
39.25,0.3419927
39.3,0.311352
39.35,0.3074443
39.4,0.3201295
39.45,0.3262823
39.5,0.3417386
39.55,0.3712961
39.6,0.4001082
39.65,0.3958358
39.7,0.3487167
39.75,0.3272966
39.8,0.3055569
39.85,0.3520742
39.9,0.3856327
39.95,0.4323381
40,0.4567676
40.05,0.4670271
40.1,0.577907
40.15,0.7112211
40.2,0.8584561
40.25,1.050218
40.3,1.259557
40.35,1.513827
40.4,1.771165
40.45,1.970523
40.5,2.102359
40.55,2.168476
40.6,2.134336
40.65,2.062858
40.7,1.957896
40.75,1.869284
40.8,1.761413
40.85,1.645238
40.9,1.511228
40.95,1.301536
41,1.107948
41.05,0.9611335
41.1,0.868689
41.15,0.8098459
41.2,0.7501284
41.25,0.6783382
41.3,0.6279874
41.35,0.580795
41.4,0.5517077
41.45,0.5269889
41.5,0.4897448
41.55,0.4779158
41.6,0.4360061
41.65,0.4528848
41.7,0.5030556
41.75,0.5192773
41.8,0.508958
41.85,0.4796726
41.9,0.4145591
41.95,0.3564773
42,0.3489244
42.05,0.3828529
42.1,0.3872909
42.15,0.3923555
42.2,0.4148841
42.25,0.4126351
42.3,0.4442084
42.35,0.4675106
42.4,0.4628164
42.45,0.4233811
42.5,0.3781649
42.55,0.3658944
42.6,0.399541
42.65,0.4438531
42.7,0.501735
42.75,0.5481958
42.8,0.5664274
42.85,0.5557481
42.9,0.556502
42.95,0.5835
43,0.5998716
43.05,0.6088368
43.1,0.6068187
43.15,0.55146
43.2,0.4877663
43.25,0.4508993
43.3,0.4315446
43.35,0.4460163
43.4,0.4327244
43.45,0.4245313
43.5,0.4046071
43.55,0.3918732
43.6,0.4147604
43.65,0.4282975
43.7,0.4108771
43.75,0.3639225
43.8,0.3386843
43.85,0.3293236
43.9,0.3654813
43.95,0.4287771
44,0.4873047
44.05,0.4804565
44.1,0.5107816
44.15,0.5152801
44.2,0.5187848
44.25,0.5256587
44.3,0.5165121
44.35,0.5139037
44.4,0.5338576
44.45,0.5491333
44.5,0.5549653
44.55,0.5815454
44.6,0.6098247
44.65,0.5963739
44.7,0.5656717
44.75,0.564491
44.8,0.5160407
44.85,0.4850688
44.9,0.4660988
44.95,0.4659736
45,0.4552728
45.05,0.4595005
45.1,0.4851254
45.15,0.4989446
45.2,0.5297431
45.25,0.5803676
45.3,0.6278746
45.35,0.635555
45.4,0.6314787
45.45,0.6424493
45.5,0.6174246
45.55,0.6387569
45.6,0.680105
45.65,0.6596298
45.7,0.6519067
45.75,0.6509175
45.8,0.6649574
45.85,0.6358748
45.9,0.6382396
45.95,0.6393296
46,0.5797215
46.05,0.5481712
46.1,0.5484384
46.15,0.5724311
46.2,0.5931637
46.25,0.6372073
46.3,0.7063136
46.35,0.7545741
46.4,0.7671891
46.45,0.7629068
46.5,0.7863714
46.55,0.800065
46.6,0.8069053
46.65,0.8242351
46.7,0.8591189
46.75,0.8598527
46.8,0.913452
46.85,0.9625201
46.9,0.9944223
46.95,1.075074
47,1.220408
47.05,1.443028
47.1,1.709858
47.15,2.007795
47.2,2.39642
47.25,2.757629
47.3,3.125685
47.35,3.386487
47.4,3.703201
47.45,3.939942
47.5,4.086171
47.55,4.191406
47.6,4.263556
47.65,4.165946
47.7,3.989213
47.75,3.790372
47.8,3.571269
47.85,3.28709
47.9,2.989905
47.95,2.742995
48,2.373578
48.05,2.0579
48.1,1.763217
48.15,1.632335
48.2,1.560982
48.25,1.487316
48.3,1.375496
48.35,1.223373
48.4,1.063781
48.45,0.9373161
48.5,0.8423839
48.55,0.7916082
48.6,0.7461269
48.65,0.7239242
48.7,0.7249718
48.75,0.7281749
48.8,0.6434271
48.85,0.5423361
48.9,0.4776114
48.95,0.4442922
49,0.454213
49.05,0.4755753
49.1,0.4667578
49.15,0.4441666
49.2,0.4119327
49.25,0.4176071
49.3,0.4096884
49.35,0.4263127
49.4,0.4521565
49.45,0.4515121
49.5,0.4272617
49.55,0.4048491
49.6,0.3905352
49.65,0.3701974
49.7,0.3585599
49.75,0.3770002
49.8,0.3448778
49.85,0.3573342
49.9,0.3889617
49.95,0.4125676
50,0.4283891
50.05,0.4758179
50.1,0.5202369
50.15,0.5345705
50.2,0.5392118
50.25,0.5256294
50.3,0.4825597
50.35,0.4531288
50.4,0.4524749
50.45,0.4309022
50.5,0.4452439
50.55,0.4713893
50.6,0.535333
50.65,0.5950567
50.7,0.5911503
50.75,0.5585588
50.8,0.5053222
50.85,0.4571581
50.9,0.4484413
50.95,0.479928
51,0.5163146
51.05,0.5170012
51.1,0.4863882
51.15,0.45645
51.2,0.4216509
51.25,0.4220405
51.3,0.4625874
51.35,0.483863
51.4,0.5610608
51.45,0.5863739
51.5,0.5677792
51.55,0.5336875
51.6,0.4781618
51.65,0.4478151
51.7,0.4465286
51.75,0.49914
51.8,0.5597609
51.85,0.597486
51.9,0.6247581
51.95,0.628105
52,0.6244822
52.05,0.6098711
52.1,0.5955506
52.15,0.5916756
52.2,0.5728073
52.25,0.559788
52.3,0.554724
52.35,0.5806261
52.4,0.5876624
52.45,0.594301
52.5,0.5821455
52.55,0.5278729
52.6,0.4790474
52.65,0.4883182
52.7,0.5110179
52.75,0.5378047
52.8,0.55707
52.85,0.5564383
52.9,0.4937042
52.95,0.4595767
53,0.4707672
53.05,0.4543958
53.1,0.4676563
53.15,0.5201258
53.2,0.5263128
53.25,0.5066596
53.3,0.4953951
53.35,0.5087113
53.4,0.5072636
53.45,0.5101762
53.5,0.514098
53.55,0.498441
53.6,0.4681009
53.65,0.4691
53.7,0.4751131
53.75,0.501327
53.8,0.5328754
53.85,0.5910125
53.9,0.6314428
53.95,0.6590258
54,0.6599153
54.05,0.6543136
54.1,0.6214247
54.15,0.55657
54.2,0.4854988
54.25,0.4299349
54.3,0.4028811
54.35,0.4381959
54.4,0.5201048
54.45,0.5685927
54.5,0.6021404
54.55,0.5895005
54.6,0.5560314
54.65,0.503845
54.7,0.4889075
54.75,0.484032
54.8,0.4800833
54.85,0.4792719
54.9,0.4860512
54.95,0.4826906
55,0.4748077
55.05,0.4853833
55.1,0.5038566
55.15,0.5401121
55.2,0.5635248
55.25,0.5652769
55.3,0.5814909
55.35,0.6389483
55.4,0.6696447
55.45,0.6983725
55.5,0.6851543
55.55,0.6524505
55.6,0.5883253
55.65,0.5769243
55.7,0.5924596
55.75,0.6020569
55.8,0.6058902
55.85,0.5974174
55.9,0.5845692
55.95,0.5751764
56,0.5944517
56.05,0.5918646
56.1,0.5874227
56.15,0.6140401
56.2,0.6080411
56.25,0.6488385
56.3,0.6754827
56.35,0.6965293
56.4,0.687428
56.45,0.6477544
56.5,0.6350765
56.55,0.6280604
56.6,0.637214
56.65,0.648873
56.7,0.635785
56.75,0.6113901
56.8,0.6209578
56.85,0.654684
56.9,0.6635125
56.95,0.6586432
57,0.6587672
57.05,0.6719371
57.1,0.6888459
57.15,0.7154906
57.2,0.7128733
57.25,0.6696042
57.3,0.6236924
57.35,0.6329278
57.4,0.6635336
57.45,0.6945243
57.5,0.7104586
57.55,0.7096238
57.6,0.6851708
57.65,0.6371146
57.7,0.5919316
57.75,0.5572054
57.8,0.5712482
57.85,0.576487
57.9,0.5832204
57.95,0.5714239
58,0.5658203
58.05,0.5647412
58.1,0.5852566
58.15,0.615471
58.2,0.6507977
58.25,0.67338
58.3,0.6674117
58.35,0.6452315
58.4,0.6319144
58.45,0.6120871
58.5,0.5815997
58.55,0.5786898
58.6,0.5800694
58.65,0.5778336
58.7,0.5986158
58.75,0.6248265
58.8,0.6994559
58.85,0.7502065
58.9,0.7850798
58.95,0.7553846
59,0.7207227
59.05,0.6880866
59.1,0.6746972
59.15,0.7137048
59.2,0.7610161
59.25,0.7522223
59.3,0.7138272
59.35,0.6728088
59.4,0.672908
59.45,0.6765116
59.5,0.6899779
59.55,0.6933471
59.6,0.6651887
59.65,0.6374761
59.7,0.6390695
59.75,0.6391839
59.8,0.6607472
59.85,0.6671541
59.9,0.6930207
59.95,0.7234083
60,0.7319919
60.05,0.7010206
60.1,0.669356
60.15,0.6574475
60.2,0.5895357
60.25,0.5777557
60.3,0.6145608
60.35,0.6027969
60.4,0.5991136
60.45,0.6139736
60.5,0.6146712
60.55,0.5926381
60.6,0.5961699
60.65,0.6341021
60.7,0.6675124
60.75,0.7283041
60.8,0.762131
60.85,0.7451474
60.9,0.7337956
60.95,0.709923
61,0.6518428
61.05,0.6033813
61.1,0.59518
61.15,0.5969592
61.2,0.5910743
61.25,0.6171059
61.3,0.6225094
61.35,0.6294301
61.4,0.6452822
61.45,0.6435866
61.5,0.6290118
61.55,0.6136824
61.6,0.6077404
61.65,0.6181447
61.7,0.6259205
61.75,0.6120561
61.8,0.5907027
61.85,0.6142395
61.9,0.6803659
61.95,0.711349
62,0.7162936
62.05,0.658175
62.1,0.5847827
62.15,0.550911
62.2,0.5736576
62.25,0.6008613
62.3,0.6101126
62.35,0.5898463
62.4,0.5463336
62.45,0.5323719
62.5,0.5588526
62.55,0.6088496
62.6,0.6276538
62.65,0.6451221
62.7,0.64784
62.75,0.6195587
62.8,0.6171866
62.85,0.6389182
62.9,0.6324067
62.95,0.6203926
63,0.6258313
63.05,0.6456624
63.1,0.6354383
63.15,0.6276066
63.2,0.5950128
63.25,0.5563396
63.3,0.5608838
63.35,0.5938933
63.4,0.6491405
63.45,0.6918741
63.5,0.739826
63.55,0.7400866
63.6,0.6968341
63.65,0.6635065
63.7,0.6177156
63.75,0.5951938
63.8,0.6144939
63.85,0.613426
63.9,0.5901616
63.95,0.56883
64,0.5515234
64.05,0.5686136
64.1,0.6109489
64.15,0.668205
64.2,0.7047209
64.25,0.7376875
64.3,0.7447045
64.35,0.7200726
64.4,0.730047
64.45,0.731806
64.5,0.6936928
64.55,0.6618044
64.6,0.6522992
64.65,0.6494938
64.7,0.645333
64.75,0.6553748
64.8,0.6515669
64.85,0.6188512
64.9,0.5915064
64.95,0.6104841
65,0.6297913
65.05,0.6312962
65.1,0.6379318
65.15,0.6389813
65.2,0.6132138
65.25,0.6125228
65.3,0.6248962
65.35,0.6398534
65.4,0.6595473
65.45,0.6951562
65.5,0.7137237
65.55,0.7128269
65.6,0.6932989
65.65,0.6545136
65.7,0.6352073
65.75,0.6383171
65.8,0.6789257
65.85,0.7460022
65.9,0.825695
65.95,0.825695
66,0.825695
66.05,0.825695
66.1,0.825695
66.15,0.825695
66.2,0.825695
66.25,0.825695
66.3,0.825695
66.35,0.825695
66.4,0.825695
66.45,0.825695
66.5,0.825695
66.55,0.825695
66.6,0.825695
66.65,0.825695
66.7,0.825695
66.75,0.825695
66.8,0.825695
66.85,0.825695
66.9,0.825695
66.95,0.825695
67,0.825695
67.05,0.825695
67.1,0.825695
67.15,0.825695
67.2,0.825695
67.25,0.825695
67.3,0.825695
67.35,0.825695
67.4,0.825695
67.45,0.825695
67.5,0.825695
67.55,0.825695
67.6,0.825695
67.65,0.825695
67.7,0.825695
67.75,0.825695
67.8,0.825695
67.85,0.825695
67.9,0.825695
67.95,0.825695
68,0.825695
68.05,0.825695
68.1,0.825695
68.15,0.825695
68.2,0.825695
68.25,0.825695
68.3,0.825695
68.35,0.825695
68.4,0.825695
68.45,0.825695
68.5,0.825695
68.55,0.825695
68.6,0.825695
68.65,0.825695
68.7,0.825695
68.75,0.825695
68.8,0.825695
68.85,0.825695
68.9,0.825695
68.95,0.825695
69,0.825695
69.05,0.825695
69.1,0.825695
69.15,0.825695
69.2,0.825695
69.25,0.825695
69.3,0.825695
69.35,0.825695
69.4,0.825695
69.45,0.825695
69.5,0.825695
69.55,0.825695
69.6,0.825695
69.65,0.825695
69.7,0.825695
69.75,0.825695
69.8,0.825695
69.85,0.825695
69.9,0.825695
69.95,0.825695
